iter	Passed	Remaining
458	1124838	1325790
459	1127398	1323467
460	1129910	1321088
461	1132377	1318656
462	1134761	1316127
463	1137232	1313699
464	1139675	1311239
465	1142171	1308840
466	1144670	1306444
467	1147175	1304054
468	1149934	1301951
469	1152554	1299688
470	1154960	1297185
471	1157426	1294748
472	1159895	1292315
473	1162373	1289891
474	1164884	1287504
475	1167405	1285127
476	1169764	1282571
477	1172311	1280223
478	1174964	1277988
479	1177440	1275560
480	1179970	1273190
481	1182496	1270815
482	1185161	1268588
483	1187809	1266342
484	1190316	1263943
485	1193082	1261819
486	1195634	1259467
487	1198097	1257020
488	1200512	1254523
489	1202999	1252101
490	1205530	1249724
491	1207989	1247273
492	1210459	1244833
493	1212979	1242444
494	1215543	1240099
495	1217997	1237642
496	1220517	1235251
497	1223081	1232905
498	1225614	1230526
499	1228124	1228124
500	1230622	1225710
501	1233081	1223255
502	1235986	1221242
503	1238515	1218856
504	1240968	1216395
505	1243818	1214320
506	1246381	1211965
507	1248911	1209575
508	1251428	1207173
509	1254023	1204845
510	1256526	1202429
511	1258948	1199935
512	1261576	1197637
513	1264161	1195296
514	1266629	1192845
515	1269018	1190319
516	1271458	1187842
517	1274013	1185471
518	1276576	1183108
519	1279048	1180660
520	1281840	1178506
521	1284079	1175842
522	1285484	1172421
523	1286646	1168785
524	1287813	1165164
525	1288869	1161452
526	1289975	1157796
527	1291190	1154246
528	1292390	1150692
529	1293657	1147205
530	1294828	1143643
531	1295989	1140080
532	1297257	1136621
533	1298524	1133168
534	1299635	1129589
535	1300813	1126077
536	1301924	1122515
537	1303123	1119039
538	1304234	1115495
539	1305438	1112040
540	1307022	1108915
541	1308469	1105680
542	1309948	1102480
543	1311233	1099122
544	1312598	1095839
545	1314025	1092614
546	1315322	1089289
547	1316454	1085834
548	1317567	1082373
549	1318674	1078915
550	1319770	1075456
551	1321018	1072131
552	1322287	1068829
553	1323602	1065572
554	1324832	1062253
555	1326030	1058916
556	1327158	1055532
557	1328422	1052262
558	1329609	1048940
559	1330819	1045643
560	1331998	1042330
561	1333173	1039021
562	1334387	1035750
563	1335591	1032478
564	1336798	1029216
565	1338127	1026055
566	1339322	1022798
567	1340504	1019538
568	1341655	1016262
569	1342828	1013011
570	1343923	1009707
571	1345056	1006440
572	1346156	1003156
573	1347275	999894
574	1348402	996645
575	1349544	993414
576	1350669	990179
577	1351758	986923
578	1352940	983744
579	1354184	980616
580	1355406	977479
581	1356681	974386
582	1358038	971358
583	1359292	968262
584	1360445	965102
585	1361576	961932
586	1362740	958793
587	1363813	955596
588	1364953	952454
589	1366223	949409
590	1367398	946304
591	1368564	943199
592	1369789	940141
593	1371087	937140
594	1372251	934053
595	1373425	930979
596	1374566	927889
597	1375721	924816
598	1376882	921752
599	1378019	918679
600	1379152	915610
601	1380286	912547
602	1381463	909520
603	1382763	906579
604	1383930	903558
605	1385105	900547
606	1386262	897530
607	1387420	894521
608	1388566	891510
609	1389781	888549
610	1390911	885539
611	1392089	882566
612	1393202	879558
613	1394434	876631
614	1395585	873659
615	1396749	870701
616	1397890	867734
617	1399119	864827
618	1400389	861952
619	1401577	859031
620	1402771	856119
621	1403937	853196
622	1405040	850241
623	1406245	847353
624	1407358	844414
625	1408441	841464
626	1409605	838569
627	1410806	835700
628	1411895	832771
629	1413050	829886
630	1414244	827030
631	1415421	824169
632	1416574	821300
633	1417696	818417
634	1418903	815590
635	1419967	812685
636	1421070	809809
637	1422234	806973
638	1423417	804152
639	1424531	801299
640	1425719	798492
641	1426919	795696
642	1428061	792873
643	1429431	790182
644	1430709	787444
645	1431988	784711
646	1433147	781917
647	1434294	779123
648	1435379	776299
649	1436488	773493
650	1437590	770690
651	1438732	767912
652	1439843	765123
653	1440971	762348
654	1442168	759615
655	1443407	756908
656	1444547	754155
657	1445673	751398
658	1446929	748714
659	1448017	745948
660	1449196	743233
661	1450325	740498
662	1451518	737800
663	1452687	735094
664	1453841	732386
665	1455068	729719
666	1456225	727021
667	1457421	724347
668	1458594	721666
669	1459818	719014
670	1460931	716313
671	1462139	713663
672	1463303	710996
673	1464383	708292
674	1465530	705625
675	1466662	702956
676	1467757	700274
677	1468883	697611
678	1470120	695005
679	1471287	692370
680	1472516	689769
681	1473775	687185
682	1474919	684552
683	1476170	681973
684	1477352	679366
685	1478465	676732
686	1479597	674110
687	1480792	671522
688	1481942	668917
689	1483170	666351
690	1484317	663754
691	1485522	661186
692	1486671	658597
693	1487864	656032
694	1489054	653470
695	1490269	650922
696	1491446	648362
697	1492717	645846
698	1493872	643284
699	1494994	640711
700	1496155	638160
701	1497303	635607
702	1498509	633083
703	1499655	630537
704	1500853	628016
705	1501996	625477
706	1503246	622986
707	1504291	620414
708	1505464	617898
709	1506692	615409
710	1507871	612904
711	1509082	610415
712	1510287	607927
713	1511457	605429
714	1512660	602948
715	1513797	600445
716	1514933	597944
717	1516144	595477
718	1517285	592986
719	1518430	590500
720	1519623	588037
721	1520897	585608
722	1522042	583133
723	1523227	580677
724	1524382	578214
